,depth,n_estimator,train accuracy,validation accuracy,test accuracy
0,4,4,0.39892579795422667,0.38591729203257225,0.4041194315823088
1,4,8,0.4071704697068181,0.4036404279099473,0.4100271435414338
2,4,10,0.4165098696589237,0.4089094683059237,0.4208845601149609
3,4,15,0.4169203927337416,0.4097078077598595,0.41928788120708926
4,4,20,0.4153467209469399,0.4049177710362446,0.4221619032412582
5,4,100,0.412678320960624,0.4015647453297142,0.41912821331630207
6,8,4,0.6270397865280011,0.5958805684176912,0.6053009739741338
7,8,8,0.634805514693305,0.6053009739741338,0.6097716749161743
8,8,10,0.6404502069720502,0.6126456969503433,0.6207887593804886
9,8,15,0.6476685710375971,0.6223854382883602,0.624141785087019
10,8,20,0.646368581300674,0.6220661025067858,0.6273351429027623
11,8,100,0.6567000786835894,0.6236627814146575,0.6343605300973975
12,10,4,0.749101980773836,0.6870509340571611,0.6969503432859652
13,10,8,0.7888542985186959,0.7264889030815903,0.7319176113683539
14,10,10,0.7942937292600322,0.7359093086380329,0.737026983873543
15,10,15,0.8069173138106804,0.750758422481239,0.7456490499760499
16,10,20,0.8090383496972392,0.7557081270956411,0.7515567619351748
17,10,100,0.8272039957579282,0.7726329235190803,0.7672042152323167
18,15,4,0.9354452464848961,0.8251636595880568,0.8131885677790196
19,15,8,0.9693134001573672,0.8658789717387834,0.853744212038959
20,15,10,0.9761896616605659,0.8754590451860131,0.864601628612486
21,15,15,0.9845027539256269,0.8879131406674118,0.8807280855819895
22,15,20,0.9881290410865178,0.8962158709883442,0.8858374580871786
23,15,100,0.9949368820772467,0.9105859811591889,0.9059556123263611
24,20,4,0.9489925079538846,0.8267603384959284,0.8235669806801852
25,20,8,0.981663302658137,0.8714673479163341,0.8617276065783172
26,20,10,0.9877527282679347,0.8807280855819895,0.8737026983873543
27,20,15,0.9936026820840889,0.8955771994251956,0.8887114801213476
28,20,20,0.996031610276761,0.9030815902921923,0.8957368673159828
29,20,100,0.9996921076938866,0.9233594124221619,0.9148970142104422
30,30,4,0.9509082823030345,0.8251636595880568,0.8167012613763373
31,30,8,0.9820054052204851,0.8679546543190164,0.859651923998084
32,30,10,0.9876158872429954,0.8768960562030975,0.8730640268242057
33,30,15,0.9944237282337245,0.8941401884081112,0.887114801213476
34,30,20,0.9959974000205262,0.9018042471658949,0.8938208526265368
35,30,100,0.9997605282063563,0.9230400766405876,0.9164936931183139
